name,region,CO2,GDP_per_capita,airports,alcohol,area,birth_rate,broadband,budget_surplus_or_deficit,child_mortality_ratio,death_rate,debt,education,electricity,energy_per_capita,exports,imports,inflation,internet_users,labor_force,life_expectancy,maternal_mortality_ratio,median_age,military_expenditures,net_migration_rate,obesity,population,population_growth_rate,railways,roadways,total_fertility,unemployment
Antigua and Barbuda,Central America and the Caribbean,729000.00,19100.00,3,11.88,443.00,15.01,8000.00,-2.4,13.95,5.69,86.8,3.8,117000.00,107154000.00,749476000.00,868797000.00,2.06,89280.00,30000.00,78.04,21,32.7,,2.01,18.9,101489.00,1.13,,1170.00,1.94,11
Burundi,Africa,715000.00,700.00,7,4.07,27830.00,34.87,4230.00,-5.7,36.75,5.85,51.7,5,100000.00,1087000.00,285105000.00,905294000.00,8.4,754000.00,5271000.00,67.77,494,17.7,2.4,6.84,5.4,13162952.00,3.59,,12322.00,4.96,1.79
Saint Lucia,Central America and the Caribbean,659000.00,13000.00,2,9.3,616.00,11.73,33000.00,0.3,11.75,8.17,70.7,3.6,92000.00,50872000.00,890724000.00,846484000.00,2.41,140400.00,99900.00,79.18,73,36.9,,-0.82,19.7,167591.00,0.27,,1210.00,1.72,16.91
Djibouti,Africa,610000.00,4900.00,13,0.21,23200.00,22.03,25053.00,-9,46.02,7.08,31.8,3.6,130000.00,8869000.00,5160000000.00,5483000000.00,1.78,759000.00,240500.00,65.61,234,24.9,3.3,4.37,13.5,976143.00,1.93,97.00,2893.00,2.13,28.39
"Gambia, The",Africa,606000.00,2100.00,1,2.67,11300.00,28.03,5000.00,-2.6,36.44,5.71,88,2.8,137000.00,3547000.00,135448000.00,726000000.00,7.37,858000.00,856100.00,67.98,458,21.8,1,-0.04,10.3,2468569.00,2.23,,2977.00,3.66,11.21
Greenland,North America,605000.00,41800.00,15,,2166086.00,13.66,15649.00,5.6,8.6,9.07,13,10.2,187000.00,,407100000.00,783500000.00,0.3,38920.00,26840.00,74.25,,34.3,,-4.95,,57777.00,-0.04,,,1.9,9.1
Belize,Central America and the Caribbean,541000.00,8800.00,47,5.93,22966.00,20.93,36000.00,-1,10.9,3.89,99,8.7,204000.00,31552000.00,1044000000.00,1252000000.00,3.24,248000.00,176900.00,76.08,130,23.9,1.3,-0.95,24.1,419137.00,1.61,,3281.00,2.59,8.22
Timor-Leste,East and Southeast Asia,538000.00,5000.00,6,0.41,14874.00,30.36,75.00,-75.7,32.93,5.55,3.8,4.2,284000.00,5740000.00,2315000000.00,1523000000.00,0.96,507000.00,569700.00,70.21,204,19.6,1.2,-3.81,3.8,1476042.00,2.1,,6040.00,4.09,5.07
Jersey,Europe,450000.00,56600.00,1,,116.00,12.31,39699.00,-0.4,3.81,7.75,,,,,,,3.7,96038.00,86800.00,82.83,,37.5,,1.5,,102785.00,0.61,,576.00,1.66,7.37
Samoa,Australia and Oceania,355000.00,5500.00,4,2.18,2831.00,19.03,1692.00,-4.7,17.76,5.38,49.1,4.8,50000.00,27111000.00,97774000.00,376791000.00,3.13,171600.00,58400.00,75.46,59,25.6,,-7.19,47.3,207501.00,0.65,,1150.00,2.37,9.15
American Samoa,Australia and Oceania,355000.00,11200.00,3,,224.00,16.18,,-2.1,9.87,6.19,12.2,,47000.00,88796000.00,428000000.00,615000000.00,-0.5,18135.00,17850.00,75.58,,27.2,,-27.36,,44620.00,-1.74,,241.00,2.13,29.8
Guinea-Bissau,Africa,342000.00,1800.00,8,3.21,36125.00,36.25,2383.00,-1.3,47.69,7.32,53.9,2.7,28000.00,2460000.00,232536000.00,439000000.00,2.24,735000.00,867500.00,64.1,725,18,1.6,-3.54,9.5,2078820.00,2.54,,4400.00,4.65,6.76
Solomon Islands,Australia and Oceania,333000.00,2400.00,36,1.19,28896.00,22.34,1000.00,-2.9,19.53,3.95,11.46,12.8,40000.00,6955000.00,413657000.00,619460000.00,-0.12,255600.00,366000.00,76.96,122,23.5,,-1.52,22.5,714766.00,1.69,,1390.00,2.82,1.03
Comoros,Africa,326000.00,3200.00,4,0.18,2235.00,22.06,1066.00,-6.5,56.01,6.49,32.4,2.6,35000.00,5346000.00,139575000.00,407000000.00,1,221400.00,219900.00,67.5,217,20.9,,-2.22,7.8,888378.00,1.34,,880.00,2.69,9.45
Grenada,Central America and the Caribbean,316000.00,13700.00,3,8.62,344.00,13.61,32000.00,3.2,9.2,8.34,70.4,3.6,55000.00,39799000.00,393766000.00,650000000.00,1.22,93600.00,55270.00,76,21,33.3,,-2.34,21.3,114299.00,0.29,,1127.00,1.92,24
Marshall Islands,Australia and Oceania,293700.00,6000.00,15,,181.00,21.61,1000.00,1.3,21.13,4.3,41.71,13.6,,,76734000.00,171201000.00,0,16254.00,10670.00,74.92,,23.8,,-4.31,52.9,80966.00,1.3,,2028.00,2.72,36
Central African Republic,Africa,285000.00,800.00,39,0.94,622984.00,32.37,499.00,-0.9,81.74,11.51,52.9,2.2,38000.00,1121000.00,113700000.00,393100000.00,4.26,605000.00,2015000.00,55.96,835,20,1.4,-3.16,7.5,5552228.00,1.77,,24000.00,3.99,6.57
Saint Kitts and Nevis,Central America and the Caribbean,268000.00,26500.00,2,8.84,261.00,12.06,30000.00,1.7,8.19,7.32,62.9,2.5,71000.00,71960000.00,408471000.00,441192000.00,1.2,37920.00,18170.00,77.33,,36.5,,1.15,22.9,54817.00,0.59,50.00,383.00,1.76,4.5
Turks and Caicos Islands,Central America and the Caribbean,245000.00,29100.00,8,,948.00,13.24,,,11.32,3.52,,4.5,85000.00,0.00,827000000.00,544219000.00,4,37008.00,4848.00,81.04,,34.6,,8.42,,59367.00,1.81,,121.00,1.7,10
Vanuatu,Australia and Oceania,225000.00,2800.00,31,1.6,12189.00,21.19,2785.00,-0.9,14,3.99,48.4,2.2,35000.00,10878000.00,88805000.00,495858000.00,2.34,211200.00,132700.00,75.4,94,23,,-1.28,25.2,313046.00,1.59,,1070.00,2.59,2.18
Saint Vincent and the Grenadines,Central America and the Caribbean,202000.00,13700.00,6,7.48,389.00,12.09,24733.00,-0.6,12.59,7.58,73.8,5.7,49000.00,27821000.00,125777000.00,415725000.00,1.57,85000.00,51700.00,76.93,62,35.3,,-6.11,23.7,100804.00,-0.16,,,1.74,21.62
Dominica,Central America and the Caribbean,182000.00,10900.00,2,6.32,751.00,13.64,16000.00,-5.9,11,8.12,82.7,5.5,42000.00,37513000.00,104959000.00,302000000.00,-0.73,58320.00,25000.00,78.45,,34.9,,-5.3,27.9,74656.00,0.02,,1512.00,2.01,23
"Micronesia, Federated States of",Australia and Oceania,177000.00,3300.00,6,1.59,702.00,18.12,6000.00,6.6,21.37,4.2,25.4,9.7,,0.00,88300000.00,258500000.00,0.55,44000.00,37920.00,74.71,74,26.3,,-20.92,45.8,100319.00,-0.7,,,2.22,16.2
British Virgin Islands,Central America and the Caribbean,173000.00,34200.00,4,,151.00,10.9,6738.00,0,13.77,5.44,,2.6,33000.00,80136000.00,23000000.00,300000000.00,1.2,24087.00,12770.00,79.9,,37.2,,13.21,,39369.00,1.87,,200.00,1.37,2.9
Sao Tome and Principe,Africa,173000.00,4100.00,2,4.23,964.00,27.43,2512.00,-2.4,43.48,6.07,88.4,5,28000.00,11636000.00,75256000.00,201145000.00,7.86,112200.00,71400.00,67.39,146,19.3,,-6.84,12.4,220372.00,1.45,,1300.00,3.44,15.91
Tonga,Australia and Oceania,171000.00,6100.00,6,0.31,747.00,20.02,5000.00,0,12.1,4.95,49.41,6.6,26000.00,22841000.00,58745000.00,285675000.00,5.64,73700.00,32000.00,77.78,126,24.1,2.1,-18.06,48.2,105221.00,-0.3,,680.00,2.7,3.97
Cook Islands,Australia and Oceania,114000.00,16700.00,11,12.97,236.00,12.34,2700.00,3,15.53,9.2,,4.6,18000.00,0.00,3125000.00,109300000.00,2.2,11382.00,6820.00,77.39,,38.3,,-26.2,55.9,7939.00,-2.31,,295.00,2.04,13.1
Saint Pierre and Miquelon,North America,84000.00,46200.00,2,,242.00,6.54,,3.8,7.97,11.36,,,26000.00,0.00,6641000.00,95350000.00,1.5,5099.00,4429.00,81.62,,48.5,,-7.12,,5195.00,-1.19,,117.00,1.59,8.7
Kiribati,Australia and Oceania,76000.00,1900.00,19,0.43,811.00,19.92,185.00,-64.1,32.2,6.91,26.3,12.4,11000.00,9335000.00,10754000.00,201984000.00,-1.81,70200.00,39000.00,68.22,76,25.7,,-2.79,46,115372.00,1.02,,670.00,2.18,30.6
Nauru,Australia and Oceania,66000.00,11900.00,1,2.44,21.00,20.71,950.00,-9.2,7.72,6.39,62,7.1,15000.00,0.00,31101000.00,94796000.00,5.1,10920.00,,68.25,,27,,-10.15,61,9852.00,0.42,,30.00,2.58,23
Falkland Islands (Islas Malvinas),South America,46000.00,70800.00,7,,12173.00,10.9,1000.00,-4,,4.9,0,,11000.00,0.00,257300000.00,90000000.00,1.4,3762.00,1850.00,,,,,,,3662.00,0.01,,440.00,,1
Montserrat,Central America and the Caribbean,33000.00,34000.00,1,,102.00,10.66,2700.00,,10.04,6.07,,5.4,5000.00,0.00,4400000.00,39440000.00,1.2,2473.00,4521.00,75.91,,34.8,,0,,5440.00,0.46,,,1.32,5.6
Antarctica,Antarctica,28000.00,,17,,14200000.00,,,,,,,,0.00,0.00,,,,4400.00,,,,,,,,,,,,,
"Saint Helena, Ascension, and Tristan da Cunha",Africa,13000.00,7800.00,2,,394.00,9.33,1000.00,,18.62,8.19,,,8000.00,0.00,19000000.00,20530000.00,4,2287.00,2486.00,80.7,,43.2,,0,,7935.00,0.11,,198.00,1.61,14
Niue,Australia and Oceania,8000.00,5800.00,1,8.5,260.00,,,-12.6,,,,,3000.00,0.00,201400.00,9038000.00,4,1512.00,663.00,,,,,,50,2000.00,-0.03,,234.00,,12
Northern Mariana Islands,Australia and Oceania,0.00,24500.00,5,,464.00,15.6,,3.7,12.17,5.58,7.1,,,0.00,914000000.00,893000000.00,0.3,12299.00,27970.00,76.83,,32.8,,-13.51,,51295.00,-0.35,,536.00,2.59,11.2
Tuvalu,Australia and Oceania,0.00,4900.00,1,0.93,26.00,22.34,450.00,25.6,28.32,7.9,37,,,0.00,2699000.00,51187000.00,4.1,7920.00,3615.00,68.69,,26.6,,-6.36,51.6,11639.00,0.81,,8.00,2.81,
